course name,instructor,course description,course dates,seats left,Schedule,delivery,repeatable,Gened type,Waitlist,meeting times,location,meeting days,final exam time,final exam date,final exam location
"""A HI 6980-001 -Research Doctoral Dissertation"",",Alison Fields,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-002 -Research Doctoral Dissertation"",",Erin Duncan O'Neill,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-003 -Research Doctoral Dissertation"",",Allison Palmer,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Aug 19 - Dec 13,4 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-004 -Research Doctoral Dissertation"",",B. Byron Price,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-005 -Research Doctoral Dissertation"",",Emily Burns,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Aug 19 - Dec 13,4 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-047 -Research Doctoral Dissertation"",",Kenneth Haltman,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Fred Jones,Art Ctr 408 Days not,"available""",,,
"""A HI 6990-001 -Independent Study"",",Emily Burns,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6990-002 -Independent Study"",",Alison Fields,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A T 5803-997 -History & Theory of Art & Tech"",",Cathleen Faubert,"Prerequisite: Graduate standing and Master of Arts in Art and Technology majors only. This course surveys the history and theory of art and technology from prehistory to the present. Presenting the major historical developments alongside key works and texts in art and design practice, their critical and historical reception, and their theorization, the course provides students with a comprehensive foundation in the past of their field. (F, Sp, Su)",Aug 19 - Dec 6,18 out of 30,Seminar,Asynchronous Online,Not Repeatable,None,No Wait List,Times not - Online Days,not,"available""",,,
"""A T 5813-997 -Creative Coding Techniques"",",Brent Richardson,"Prerequisite: Graduate standing and Master of Arts in Art and Technology majors only. This course provides an introduction to the computer as a usable art production tool. Students work to understand computer code as a malleable form within the context of New Media Art. Students learn the basic structure of OOP (Object Oriented Programming) as it pertains to the navigation of current technologies. (F, Sp, Su)",Aug 19 - Dec 6,18 out of 30,Lecture/Lab Combined,Asynchronous Online,Not Repeatable,None,No Wait List,Times not - Online Days,not,"available""",,,
"""ACCT 6990-004 -Independent Study"",",Bradley Blaylock,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 9,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6990-005 -Independent Study"",",Richard Price,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 9,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AERO 1011-001 -Air Force - Heritage & Values"",","Aaron Ashley, Jeffrey Pixley, Travis Moore and Nicholas Maher","Prerequisite: concurrent enrollment in AERO 1300. This course provides an introduction to the Air and Space Forces, hopefully encouraging students to pursue an AF career. The course also lays the foundation for becoming an Air or Space professional by outlining our heritage and values. As a foundational course, AERO 1011 also provides a historical perspective with lessons on war, AF operations, and principles of airpower. (F)",Aug 19 - Dec 6,21 out of 50,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:20 am,Burton Hall 210,T,8:00 am - 10:00 am,Dec 12,"Burton Hall 210 R"","
