course name,instructor,course description,course dates,seats left,Schedule,delivery,repeatable,Gened type,Waitlist,meeting times,location,meeting days,final exam time,final exam date,final exam location
"""C S 1213-010 -Programming with Python"",",Omkar Saiswaroop Varma Chekuri,"STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING AS A CO-REQUISITE: C S 1213-011 OR C S 1213-012.  Prerequisite: Mathematics 1503 or concurrent enrollment. Introduction to the design and implementation of computer programs in the language Python. We will cover data types, control flow, iterations, functions, and the use of external libraries for text processing, graphics, image manipulation, web programming and others. Emphasis on problem solving with examples drawn from diverse disciplines. (F, Sp)",Aug 19 - Dec 6,33 out of 100,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,10:00 am - 10:50 am,Sarkeys Energy Ctr N0202,MWF,8:00 am - 10:00 am,Dec 11,"Sarkeys Energy Ctr N0202 W"","
"""C S 1213-011 -Lab-C S 1213-010"",",Saeed Tajik Hesarkuchak,"Prerequisite: Mathematics 1503 or concurrent enrollment. Introduction to the design and implementation of computer programs in the language Python. We will cover data types, control flow, iterations, functions, and the use of external libraries for text processing, graphics, image manipulation, web programming and others. Emphasis on problem solving with examples drawn from diverse disciplines. (F, Sp)",Aug 19 - Dec 6,4 out of 50,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,11:00 am - 11:50 am,Sarkeys Energy Ctr M0207,"F""",8:00 am - 10:00 am,Dec 11,"Sarkeys Energy Ctr N0202 W"","
"""C S 1213-012 -Lab-C S 1213-010"",",Maisha Maliha,"Prerequisite: Mathematics 1503 or concurrent enrollment. Introduction to the design and implementation of computer programs in the language Python. We will cover data types, control flow, iterations, functions, and the use of external libraries for text processing, graphics, image manipulation, web programming and others. Emphasis on problem solving with examples drawn from diverse disciplines. (F, Sp)",Aug 19 - Dec 6,29 out of 50,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 12:50 pm,Sarkeys Energy Ctr M0207,"F""",,,
"""C S 1313-010 -Program for Non-Majors with C"",",Henry Neeman,"STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING DISCUSSION SECTIONS AS A COREQUISITE: C S 1313 011 THROUGH 014.  Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Aug 19 - Dec 6,29 out of 120,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,9:00 am - 9:50 am,Sarkeys Energy Ctr N0202,MWF,8:00 am - 10:00 am,Dec 10,"Sarkeys Energy Ctr N0202 T"","
"""C S 1313-011 -Disc-C S 1313-010"",",Mohammad Amin Basiri,"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Aug 19 - Dec 6,3 out of 30,Discussion with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,11:00 am - 11:50 am,Carson Engr Ctr 205,"F""",8:00 am - 10:00 am,Dec 10,"Sarkeys Energy Ctr N0202 T"","
"""C S 1313-012 -Disc-C S 1313-010"",",Mohammad Amin Basiri,"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Aug 19 - Dec 6,2 out of 30,Discussion with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,10:00 am - 10:50 am,Carson Engr Ctr 205,"F""",,,
"""C S 1313-013 -Disc-C S 1313-010"",",Mohammad Amin Basiri,"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Aug 19 - Dec 6,14 out of 30,Discussion with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 12:50 pm,Carson Engr Ctr 205,"F""",,,
"""C S 1313-014 -Disc-C S 1313-010"",",Mohammad Amin Basiri,"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Aug 19 - Dec 6,10 out of 30,Discussion with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,1:00 pm - 1:50 pm,Carson Engr Ctr 205,"F""",,,
"""C S 1321-100 -Java for Programmers"",",Keerti Banweer and Deborah Trytten,"Please visit https://www.ou.edu/coe/cs/resources, under \u201cDepartmental Links\u201d for the Placement Survey for CS 1321/3/4. Completion of this survey is required for proper placement into CS 1321, CS 1323, or CS 1324. Refer all questions regarding this process to Dr. Deborah Trytten (dtrytten@ou.edu).  Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to computer programming using the Java programming language for students who are already proficient in another programming language. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Oct 11,8 out of 24,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,3:00 pm - 4:40 pm,Physical Science Ctr 359,"M""",,,
"""C S 1323-001 -Intro. Prog. for Programmers"",",Keerti Banweer and Deborah Trytten,"Please visit https://www.ou.edu/coe/cs/resources, under \u201cDepartmental Links\u201d for the Placement Survey for CS 1321/3/4. Completion of this survey is required for proper placement into CS 1321, CS 1323, or CS 1324. Refer all questions regarding this process to Dr. Deborah Trytten (dtrytten@ou.edu).  Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with some prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,17 out of 60,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,11:00 am - 11:50 am,Gaylord Hall 2020,MWF,7:30 pm - 9:30 pm,Dec 11,"Location not available W"","
