course name,instructor,course description,course dates,seats left,Schedule,delivery,repeatable,Gened type,Waitlist,meeting times,location,meeting days,final exam time,final exam date,final exam location
"""A HI 5980-002 -Research for Master's Thesis"",",Emily Burns,"2 to 9 hours. Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. May be repeated for credit; maximum credit applicable toward degree, four hours. Directed research culminating in the completion of the master's thesis. (Irreg.)",Jan 13 - May 9,3 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 5980-003 -Research for Master's Thesis"",",Alison Fields,"2 to 9 hours. Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. May be repeated for credit; maximum credit applicable toward degree, four hours. Directed research culminating in the completion of the master's thesis. (Irreg.)",Jan 13 - May 9,1 out of 1,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6203-001 -Native American Art"",",Alicia Harris,"Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. May be repeated with change in topic; maximum credit 12 hours. Advanced seminar that will examine in depth various concepts, individuals, schools, movements, or themes. Topics may include: Oklahoma Native American artist; Ledger art; art of Native American people; contemporary Native American painters; Native American sculptors; southwestern Native American weaving; jewelry; beadwork; potteries; coastal American art of the northwest; and native arts of Hawaii. (Irreg.)",Jan 13 - May 2,7 out of 10,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,9:00 am - 11:40 am,Fred Jones Art Ctr 204,"M""",,,
"""A HI 6950-001 -Dissertation Proposal"",",Allison Palmer,"1 to 6 hours. Prerequisite: Completion of core coursework for the PhD in Art History. May be repeated; maximum credit six hours. Students will create a research topic and formulate a proposal and bibliography approved by their doctoral committee. (F, Sp)",Jan 13 - May 9,2 out of 2,Independent Study,Traditional In-Person,"Times: 5, Max Hours: 6",None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6960-001 -Directed Readings"",",Alison Fields,1 to 3 hours. Prerequisite: graduate standing or permission of instructor. May be repeated; maximum credit six hours. Directed readings and/or literature review under the direction of a faculty member. (Irreg.),Jan 13 - May 9,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not - Fred Jones,Art Ctr 307 Days not,"available""",,,
"""A HI 6960-002 -Directed Readings"",",Robert Bailey,1 to 3 hours. Prerequisite: graduate standing or permission of instructor. May be repeated; maximum credit six hours. Directed readings and/or literature review under the direction of a faculty member. (Irreg.),Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6960-003 -Directed Readings"",",Allison Palmer,1 to 3 hours. Prerequisite: graduate standing or permission of instructor. May be repeated; maximum credit six hours. Directed readings and/or literature review under the direction of a faculty member. (Irreg.),Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6960-005 -Directed Readings"",",Yve Chavez,1 to 3 hours. Prerequisite: graduate standing or permission of instructor. May be repeated; maximum credit six hours. Directed readings and/or literature review under the direction of a faculty member. (Irreg.),Jan 13 - May 9,1 out of 1,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6960-006 -Directed Readings"",",Emily Burns,1 to 3 hours. Prerequisite: graduate standing or permission of instructor. May be repeated; maximum credit six hours. Directed readings and/or literature review under the direction of a faculty member. (Irreg.),Jan 13 - May 9,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6960-007 -Directed Readings"",",Alicia Harris,1 to 3 hours. Prerequisite: graduate standing or permission of instructor. May be repeated; maximum credit six hours. Directed readings and/or literature review under the direction of a faculty member. (Irreg.),Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-002 -Research Doctoral Dissertation"",",Emily Burns,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-003 -Research Doctoral Dissertation"",",Alison Fields,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-004 -Research Doctoral Dissertation"",",Allison Palmer,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Jan 13 - May 9,1 out of 2,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-005 -Research Doctoral Dissertation"",",Erin Duncan O'Neill,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-006 -Research Doctoral Dissertation"",",Allison Palmer,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-007 -Research Doctoral Dissertation"",",Robert Bailey,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Jan 13 - May 9,4 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-049 -Research Doctoral Dissertation"",",Robert Bailey,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",Jan 13 - May 9,3 out of 3,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6990-001 -Independent Study"",",Emily Burns,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Jan 13 - May 9,1 out of 3,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6990-002 -Independent Study"",",Robert Bailey,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6990-046 -Independent Study"",",Alison Fields,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 5990-002 -Research in Accounting"",",Richard Price,"1 to 4 hours. Prerequisite: graduate standing and permission of department. May be repeated; maximum credit eight hours. (F, Sp, Su)",Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 8,None,No Wait List,Times not - Adams Hall,Days not,"available""",,,
"""ACCT 5990-003 -Research in Accounting"",",TBD,"1 to 4 hours. Prerequisite: graduate standing and permission of department. May be repeated; maximum credit eight hours. (F, Sp, Su)",Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 8,None,No Wait List,Times not - Adams Hall,Days not,"available""",,,
"""ACCT 5990-004 -Research in Accounting"",",Wayne Thomas,"1 to 4 hours. Prerequisite: graduate standing and permission of department. May be repeated; maximum credit eight hours. (F, Sp, Su)",Jan 13 - May 9,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 8,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6623-001 -Fed Income Tax of Partnerships"",",Paige Arthur,"Prerequisite: Graduate standing, ACCT 5613 and ACCT 6613, or departmental permission. An advanced study of acquisitions of partnership interests, the basis of a partner's partnership interest, taxing partnership operations, transfers of partnership interests, partnership distributions, death or retirement of a partner, and adjustments to the basis of partnership assets. (Irreg.)",Jan 13 - May 2,11 out of 25,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,6:00 pm - 8:50 pm,Michael F. Price Hall 3065,"W""",,,
"""ACCT 6633-200 -Selected Topics in Taxation"",",David Greenwell,"Prerequisite: Graduate standing, permission of instructor, and ACCT 5613. Selected topics will focus on concepts and functional areas currently relevant to the field of taxation and tax accounting. (Sp)",Mar 10 - May 2,10 out of 25,Lecture,Blended In-Person Asynchronous,Not Repeatable,None,No Wait List,Times not - Online Days,not available Mar 10 - May 2 6:00 pm - 9:30 pm Michael F. Price Hall 3065,"M""",,,
"""ACCT 6973-001 -Seminar in Auditing"",",Chenxi Lin,"Prerequisite: 6193 or permission of instructor. May be repeated with change of topic; maximum credit six hours. Seminar in latest developments in research and theory from one of the following general areas of accounting: auditing, taxation, positive theory, managerial accounting, or financial reporting. Specific topic is announced for each time of offering. (Irreg.)",Jan 13 - May 2,37 out of 40,Seminar,Traditional In-Person,Max Hours: 6,None,No Wait List,2:00 pm - 4:50 pm,Michael F. Price Hall 2020,"F""",,,
"""ACCT 6980-002 -Research Doctoral Dissertation"",",Cheng-Shing Cheng,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6980-003 -Research Doctoral Dissertation"",",Richard Price,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Adams Hall,Days not,"available""",,,
"""ACCT 6980-004 -Research Doctoral Dissertation"",",Wayne Thomas,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Jan 13 - May 9,4 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Adams Hall,Days not,"available""",,,
"""ACCT 6980-005 -Research Doctoral Dissertation"",",Bradley Blaylock,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6980-006 -Research Doctoral Dissertation"",",Kevan Jensen,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Jan 13 - May 9,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AERO 1021-001 -The Air Force Today"",","Nicholas Maher, Travis Moore, Aaron Ashley, Jeffrey Pixley and La Wanna Washington","For Freshmen only.  Prerequisite: departmental permission; concurrent enrollment in 1300. A study of aerospace defense, missile defense, general purpose forces and aerospace support forces. The mission, resources and operation of tactical air forces, with special attention to limited war; and a review of Army, Navy and Marine general purpose forces. (Sp)",Jan 13 - May 2,5 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:20 am,Felgar Hall 336,T,8:00 am - 10:00 am,May 7,"Felgar Hall 336 W"","
"""AERO 1021-002 -The Air Force Today"",","Nicholas Maher, Aaron Ashley, Travis Moore and Jeffrey Pixley","Prerequisite: departmental permission; concurrent enrollment in 1300. A study of aerospace defense, missile defense, general purpose forces and aerospace support forces. The mission, resources and operation of tactical air forces, with special attention to limited war; and a review of Army, Navy and Marine general purpose forces. (Sp)",Jan 13 - May 2,8 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 9:50 am,Felgar Hall 336,R,8:00 am - 10:00 am,May 9,"Felgar Hall 336 F"","
"""AERO 1300-001 -Leadership Laboratory"",","Nicholas Maher, Aaron Ashley, Travis Moore, Jeffrey Pixley and La Wanna Washington","STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING LECTURE COURSES AS A COREQUISITE: AERO 1021 OR AERO 2021 OR AERO 3023 OR AERO 4023  Prerequisite: concurrent enrollment in AERO 1011, 1021, 2011, 2021, 3013, 3023, 4013 or 4023 or permission. Designed to introduce the student to the customs and courtesies associated with the Air Force. Also provides a practicum for the initial development of leadership and command abilities. (F, Sp)",Jan 13 - May 2,92 out of 200,Practicum,Traditional In-Person,Times: 10,None,No Wait List,6:00 am - 8:00 am,Dale Hall 103,"W""",8:00 am - 10:00 am,May 9,"Felgar Hall 336 F"","
"""AERO 2021-001 -Team/Leadership Fundamentals 2"",","Jeffrey Pixley, Aaron Ashley, Travis Moore, Nicholas Maher and Shawn Sturms","Prerequisite: Corequisite: AERO 1300. This course is designed to continue providing a fundamental understanding of both leadership and team building. It is imperative that students are taught from the beginning that there are many layers to leadership, including listening, understanding themselves, being a good follower and problem solving efficiently. Students should demonstrate basic verbal and written communication skills. (Sp)",Jan 13 - May 2,17 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 9:50 am,Felgar Hall 336,T,8:00 am - 10:00 am,May 9,"Felgar Hall 336 F"","
"""AERO 2021-002 -Team/Leadership Fundamentals 2"",","Aaron Ashley, Travis Moore, Jeffrey Pixley and Nicholas Maher","Prerequisite: Corequisite: AERO 1300. This course is designed to continue providing a fundamental understanding of both leadership and team building. It is imperative that students are taught from the beginning that there are many layers to leadership, including listening, understanding themselves, being a good follower and problem solving efficiently. Students should demonstrate basic verbal and written communication skills. (Sp)",Jan 13 - May 2,13 out of 24,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:20 am,Felgar Hall 336,R,8:00 am - 10:00 am,May 7,"Felgar Hall 336 W"","
"""AERO 3023-001 -Leading/Effective Comm 2"",","Travis Moore, Aaron Ashley, Jeffrey Pixley and Nicholas Maher",Prerequisite: AERO 3013 or Departmental Permission; Corequisite: AERO 1300. This course is designed to build on the leadership fundamentals taught in AERO 3013. The students will have the opportunity to utilize their skills as they begin more of a leadership role in the detachment. The goal is for students to have a more in-depth understanding of how to effectively lead people. Concurrent enrollment in AERO 1300 is required. (Sp),Jan 13 - May 2,16 out of 24,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 10:15 am,Physical Science Ctr 321,TR,8:00 am - 10:00 am,May 9,"Physical Science Ctr 321 F"","
"""AERO 3023-002 -Leading/Effective Comm 2"",","Travis Moore, Aaron Ashley, Jeffrey Pixley and Nicholas Maher",Prerequisite: AERO 3013 or Departmental Permission; Corequisite: AERO 1300. This course is designed to build on the leadership fundamentals taught in AERO 3013. The students will have the opportunity to utilize their skills as they begin more of a leadership role in the detachment. The goal is for students to have a more in-depth understanding of how to effectively lead people. Concurrent enrollment in AERO 1300 is required. (Sp),Jan 13 - May 2,18 out of 27,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:45 am,Zarrow Hall 105,TR,8:00 am - 10:00 am,May 7,"Zarrow Hall 105 W"","
"""AERO 4023-001 -American National Security II"",","Jeffrey Pixley, Aaron Ashley, Travis Moore and Nicholas Maher",Prerequisite: 4013 or departmental permission. Examines U.S. national security policy in the international setting; arms control and peacekeeping efforts; and civil-military interaction. Includes a study of the military profession and officership. Designed to provide future Air Force officers with a background in the profession and U.S. national security policy so that they can function effectively in today's Air Force. Concurrent enrollment in 4100 is required. (Sp),Jan 13 - May 2,7 out of 15,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 10:15 am,Headington,R,8:00 am - 10:00 am,May 9,"Headington Residential College D0127 F"","
"""AERO 4023-002 -American National Security II"",","Jeffrey Pixley, Travis Moore, Aaron Ashley and Nicholas Maher",Prerequisite: 4013 or departmental permission. Examines U.S. national security policy in the international setting; arms control and peacekeeping efforts; and civil-military interaction. Includes a study of the military profession and officership. Designed to provide future Air Force officers with a background in the profession and U.S. national security policy so that they can function effectively in today's Air Force. Concurrent enrollment in 4100 is required. (Sp),Jan 13 - May 2,6 out of 15,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:45 am,Dunham,R,8:00 am - 10:00 am,May 7,"Dunham Residential College A0128 W"","
"""AFAM 3413-001 -African American Educ in U.S."",",Michael Baugh,"Prerequisite: any course that focuses on African or African-American content, or English 1213. Examines two major historical features of African American education: the ways in which the African American community has sought to educate itself and the ways in which white Americans have sought to educate African Americans. Emphasis is placed on the purpose of education, and alternative visions of educational possibility. (Irreg.)",Jan 13 - May 2,27 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 12:50 pm,Bizzell Library 104,MWF,1:30 pm - 3:30 pm,May 7,"Bizzell Library 104 W"","
"""AFAM 3980-001 -Honors Research (HONORS)"",",Jermaine Thibodeaux,"1 to 3 hours. Prerequisite: admission to Honors Program. May be repeated; maximum credit six hours. Provides an opportunity for the gifted Honors candidate to work at a special project in the student's field. (F, Sp, Su)",Jan 13 - May 9,1 out of 1,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,1:30 pm - 3:30 pm,May 7,"Bizzell Library 104 W"","
"""AFAM 4243-001 -The Black Arts Movement"",",Kalenda Eaton,"Prerequisite: ENGL 1213 or EXPO 1213, or permission of instructor, or junior standing. Examines the literature, art, music, film, and cultural commentary of the Black Arts Movement. Focuses on the notion of 'blackness' and the black experience as developed in the cultural expressions of key figures of the Black Arts Movement, and the subsequent connection of that movement to further changes in literature, drama, film, music and art. Also explores the emergence of a critical discourse specific to a \""new\"" black aesthetic. (Irreg.)",Jan 13 - May 2,20 out of 25,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,3:00 pm - 4:15 pm,Bizzell Library 104,TR,4:30 pm - 6:30 pm,May 6,"Bizzell Library 104 T"","
