course name,instructor,course description,course dates,seats left,Schedule,delivery,repeatable,Gened type,Waitlist,meeting times,location,meeting days,final exam time,final exam date,final exam location
"""A HI 3990-001 -Independent Study"",",Robert Bailey,"1 to 3 hours. Prerequisite: permission of instructor and junior standing. May be repeated once with change of content. Independent study may be arranged to study a subject not available through regular course offerings. (F, Sp, Su)",Jul 7 - Aug 1,10 out of 10,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 5960-001 -Directed Readings"",",Allison Palmer,Prerequisite: permission of instructor. May be repeated; maximum credit six hours. Research culminating in the preparation of papers using technical and critical literature in the history of art. (Irreg.),May 12 - Aug 1,1 out of 1,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 5960-002 -Directed Readings"",",TBD,Prerequisite: permission of instructor. May be repeated; maximum credit six hours. Research culminating in the preparation of papers using technical and critical literature in the history of art. (Irreg.),May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6960-001 -Directed Readings"",",Alicia Harris,1 to 3 hours. Prerequisite: graduate standing or permission of instructor. May be repeated; maximum credit six hours. Directed readings and/or literature review under the direction of a faculty member. (Irreg.),May 12 - Aug 1,1 out of 1,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""A HI 6980-003 -Research Doctoral Dissertation"",",Alison Fields,"2 to 9 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the Doctoral dissertation. (F, Sp)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 2113-995 -Fundmntl Financial Accounting"",",Kaimee Kellis,"Important Notice: All sections of ACCT 2113 have been selected for an Inclusive Access program which provides less expensive digital course materials, easier purchase, and direct delivery through Canvas. All Inclusive Access digital course materials are provided to enrolled students by the first day of class through Canvas. The Inclusive Access materials are listed at soonerbooks.com, but no further action is needed to purchase them. The OU student Bursar account will be billed directly for these digital materials at a significant discount. Instead of the previous rate of $175.33 for Connect for Financial Accounting (5th ed.) by Spiceland, Thomas, & Herrmann, only $105.20 will be billed. The Inclusive Access program only applies to the referenced materials and does not include any other required materials, such as course note-packs, clickers or calculators, or optional materials. Please check Soonerbooks.com to determine if other materials are required. Students may opt-out of this program through their Soonerbooks account eLibrary; however, the digital course materials are required, are necessary for maximum success in this course, and are not available anywhere for a lower price.  Prerequisite: Business majors and students enrolled in approved degree programs or by permission of Price College advising; B AD 1001 or concurrent enrollment. Basic principles of financial accounting. Emphasis on the preparation and use of the income statement, balance sheet and statement of funds flow for corporations. Coverage includes the analysis and recording of transactions involving cash, inventories, fixed assets, bonds and capital stock as well as closing, adjusting and reversing entries for revenue and expense items. (F, Sp, Su)",Jul 7 - Aug 1,41 out of 60,Lecture,Asynchronous Online,Not Repeatable,None,0 Waiting,Times not - Online Days,not,"available""",,,
"""ACCT 2123-995 -Fundmntl Managerial Accounting"",",Kaimee Kellis,"Important Notice: All sections of ACCT 2123 have been selected for an Inclusive Access program which provides less expensive digital course materials, easier purchase, and direct delivery through Canvas. All Inclusive Access digital course materials are provided to enrolled students by the first day of class through Canvas. The Inclusive Access materials are listed at Soonerbooks.com, but no further action is needed to purchase them. The OU student Bursar account will be billed directly for these digital materials at a significant discount. Instead of the previous rate of $188.66 for Connect Online Access for Managerial Accounting (17th ed.) by Garrison, Noreen & Brewer, only $123.98 will be billed. The Inclusive Access program only applies to the referenced materials and does not include any other required materials, such as course note-packs, clickers or calculators, or optional materials. Please check Soonerbooks.com to determine if other materials are required. Students may opt-out of this program through their Soonerbooks account eLibrary; however, the digital course materials are required, are necessary for maximum success in this course, and are not available anywhere for a lower price.  Prerequisite: Business majors and students enrolled in approved degree programs or by permission of Price College advising; ACCT 2113. Introduction to managerial accounting. Analysis of cost behavior and the use of this knowledge for both short- and long-term decision. An introduction to budgeting and the accumulation of product costs for planning and performance evaluation. Specific coverage includes cost-volume-profit analysis, capital budgeting, allocations, variances from standard costs and the measurement of divisional performance. (F, Sp, Su)",Jul 7 - Aug 1,40 out of 60,Lecture,Asynchronous Online,Not Repeatable,None,0 Waiting,Times not - Online Days,not,"available""",,,
"""ACCT 3113-200 -Intermediate Accounting I"",",Heejin Ohn,"Notice: Some Summer Session courses list a \""CONF\"" meeting time on the class schedule in order to restrict students to enrollment in only one course for parts of term by creating a time conflict with other Summer Session courses. There is not an expectation for students to actually meet for those listed times. Consult your College Advisor for potential exceptions.  Prerequisite: College of Business students only; Grades of C or better in ACCT 2113, B AD 1001, B C 2813, ECON 1113, ECON 1123, ECON 2843, MIS 2113, and MATH 1743 or MATH 1823 or MATH 1914, and ACCT 2123. Measurement and reporting of assets including receivables, inventory, investments, fixed assets, and intangible assets; special issues related to revenue recognition. (F, Sp)",Jun 9 - Jul 3,29 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,1:00 pm - 3:15 pm,Michael F. Price Hall 2020,"MTWRF""",,,
"""ACCT 3123-300 -Intermediate Accounting II"",",Jonathan Kern,"Notice: Some Summer Session courses list a \""CONF\"" meeting time on the class schedule in order to restrict students to enrollment in only one course for parts of term by creating a time conflict with other Summer Session courses. There is not an expectation for students to actually meet for those listed times. Consult your College Advisor for potential exceptions.  Prerequisite: ACCT 2113, ACCT 2123 and ACCT 3113 with a minimum grade of C or better in each course; MATH 1743 or MATH 1823 or MATH 1914. Measurement and reporting of bonds, leases, pensions, derivatives, stockholders' equity, earnings per share, and share-based compensation; special issues related to accounting for income taxes and the statement of cash flows. (F, Sp)",Jul 7 - Aug 1,26 out of 40,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,1:00 pm - 3:15 pm,Michael F. Price Hall 2020,"MTWRF""",,,
"""ACCT 3353-100 -Systems/Databases"",",Hannah Bermudez,"Prerequisite: College of Business students only; Grades of C or better in ACCT 2113, B AD 1001, B C 2813, ECON 1113, ECON 1123, ECON 2843, MIS 2113, and MATH 1743 or MATH 1823 or MATH 1914, and ACCT 2123. A study of the role of technology in accounting, focusing on the documentation, flow, and processing of accounting information in business. Gives an introduction to the various components of an information system and the necessary internal controls in complex business computing environments. Course includes data analytics and enterprise systems projects. (F, Sp)",May 12 - Jun 6,29 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,8:00 am - 10:15 am,Michael F. Price Hall 2010,"MTWRF""",,,
